Node 1 (id), Node 1 (label), Node 1 (longtitude), Node 1 (latitude),Node 2 (id), Node 2 (label), Node 2 (longtitude), Node 2 (latitude),Distance (km), Delay (mks)
0,ILLINOIS,-89.64371,39.80172,26,UTAH,-111.89105,40.76078,1162.261993212605,5613.725427216882
0,ILLINOIS,-89.64371,39.80172,28,MIT,-71.09172,42.35954,976.1259146405397,4714.688167713807
1,MITRE,-70.9342,41.63622,10,ARPA,-77.10428,38.88101,356.6443332193434,1722.5921294494287
1,MITRE,-70.9342,41.63622,16,SAAC,-77.04692,38.80484,355.83045720426145,1718.6611082965828
2,CARNEGIE,-79.94283,40.44118,3,CASE,-81.59707,41.5045,104.48678183379016,504.67115625720646
2,CARNEGIE,-79.94283,40.44118,17,BELVOIR,-77.14589,38.7119,175.0786848854184,845.6300479965709
3,CASE,-81.59707,41.5045,2,CARNEGIE,-79.94283,40.44118,104.48678183379016,504.67115625720646
3,CASE,-81.59707,41.5045,5,AFGWC,-89.85035,38.5427,461.5058711162435,2229.073357491456
3,CASE,-81.59707,41.5045,11,RADC,-75.45573,43.21285,332.2364212479429,1604.7019146275643
4,ETAC,-77.03637,38.89511,7,NBS,-77.20137,39.14344,16.290748603328886,78.68431575407853
4,ETAC,-77.03637,38.89511,8,Tinker,-97.38663,35.41474,1089.5894285334082,5262.716939816361
4,ETAC,-77.03637,38.89511,10,ARPA,-77.10428,38.88101,3.645572011435998,17.60811281523587
5,AFGWC,-89.85035,38.5427,3,CASE,-81.59707,41.5045,461.5058711162435,2229.073357491456
5,AFGWC,-89.85035,38.5427,15,NOAA {[Boulder, Colorado}},-105.49222,39.90776,822.6243419666639,3973.275571698987
6,BBN,-71.10561,42.3751,19,BBN,-71.10561,42.3751,0.0,0.0
6,BBN,-71.10561,42.3751,28,MIT,-71.09172,42.35954,1.1255604595013087,5.436457019391321
7,NBS,-77.20137,39.14344,4,ETAC,-77.03637,38.89511,16.290748603328886,78.68431575407853
7,NBS,-77.20137,39.14344,20,HARVARD,-71.11644,42.37843,364.5642250017667,1760.8452067585333
8,Tinker,-97.38663,35.41474,4,ETAC,-77.03637,38.89511,1089.5894285334082,5262.716939816361
8,Tinker,-97.38663,35.41474,13,RAND,-118.49119,34.01945,1122.4545813714299,5421.455628024007
9,AMES,-122.08385,37.38605,14,AMES,-122.08385,37.38605,0.0,0.0
9,AMES,-122.08385,37.38605,21,SRI,-122.18219,37.45383,6.404523308579817,30.933847580440517
10,ARPA,-77.10428,38.88101,1,MITRE,-70.9342,41.63622,356.6443332193434,1722.5921294494287
10,ARPA,-77.10428,38.88101,4,ETAC,-77.03637,38.89511,3.645572011435998,17.60811281523587
11,RADC,-75.45573,43.21285,3,CASE,-81.59707,41.5045,332.2364212479429,1604.7019146275643
11,RADC,-75.45573,43.21285,27,Lincoln,-71.2245,42.44732,223.09947595817658,1077.5704688779929
12,McClellan,-121.37217,38.68574,21,SRI,-122.18219,37.45383,80.64380955014073,389.50960012717974
12,McClellan,-121.37217,38.68574,26,UTAH,-111.89105,40.76078,508.99160600082126,2458.4294569839667
13,RAND,-118.49119,34.01945,8,Tinker,-97.38663,35.41474,1122.4545813714299,5421.455628024007
13,RAND,-118.49119,34.01945,23,UCLA,-118.24368,34.05223,13.283992693182073,64.16168470806942
13,RAND,-118.49119,34.01945,24,Stanford,-122.14302,37.44188,271.1909418174124,1309.852248978102
14,AMES,-122.08385,37.38605,9,AMES,-122.08385,37.38605,0.0,0.0
14,AMES,-122.08385,37.38605,24,Stanford,-122.14302,37.44188,4.398153705316533,21.243082396678854
15,NOAA {[Boulder, Colorado}},-105.49222,39.90776,5,AFGWC,-89.85035,38.5427,822.6243419666639,3973.275571698987
15,NOAA {[Boulder, Colorado}},-105.49222,39.90776,25,USC,-118.24368,34.05223,746.9026827530889,3607.5399576974196
16,SAAC,-77.04692,38.80484,1,MITRE,-70.9342,41.63622,355.83045720426145,1718.6611082965828
16,SAAC,-77.04692,38.80484,17,BELVOIR,-77.14589,38.7119,7.32420004373042,35.37588621121793
17,BELVOIR,-77.14589,38.7119,2,CARNEGIE,-79.94283,40.44118,175.0786848854184,845.6300479965709
17,BELVOIR,-77.14589,38.7119,16,SAAC,-77.04692,38.80484,7.32420004373042,35.37588621121793
18,SDC,-118.49119,34.01945,23,UCLA,-118.24368,34.05223,13.283992693182073,64.16168470806942
18,SDC,-118.49119,34.01945,25,USC,-118.24368,34.05223,13.283992693182073,64.16168470806942
19,BBN,-71.10561,42.3751,6,BBN,-71.10561,42.3751,0.0,0.0
19,BBN,-71.10561,42.3751,20,HARVARD,-71.11644,42.37843,0.5911547560061341,2.855277471509628
20,HARVARD,-71.11644,42.37843,7,NBS,-77.20137,39.14344,364.5642250017667,1760.8452067585333
20,HARVARD,-71.11644,42.37843,19,BBN,-71.10561,42.3751,0.5911547560061341,2.855277471509628
21,SRI,-122.18219,37.45383,9,AMES,-122.08385,37.38605,6.404523308579817,30.933847580440517
21,SRI,-122.18219,37.45383,12,McClellan,-121.37217,38.68574,80.64380955014073,389.50960012717974
21,SRI,-122.18219,37.45383,22,UCSB,-119.69819,34.42083,213.75522223044513,1032.43772337305
22,UCSB,-119.69819,34.42083,21,SRI,-122.18219,37.45383,213.75522223044513,1032.43772337305
22,UCSB,-119.69819,34.42083,23,UCLA,-118.24368,34.05223,79.95540658409942,386.1846138012002
23,UCLA,-118.24368,34.05223,13,RAND,-118.49119,34.01945,13.283992693182073,64.16168470806942
23,UCLA,-118.24368,34.05223,18,SDC,-118.49119,34.01945,13.283992693182073,64.16168470806942
23,UCLA,-118.24368,34.05223,22,UCSB,-119.69819,34.42083,79.95540658409942,386.1846138012002
24,Stanford,-122.14302,37.44188,13,RAND,-118.49119,34.01945,271.1909418174124,1309.852248978102
24,Stanford,-122.14302,37.44188,14,AMES,-122.08385,37.38605,4.398153705316533,21.243082396678854
25,USC,-118.24368,34.05223,15,NOAA {[Boulder, Colorado}},-105.49222,39.90776,746.9026827530889,3607.5399576974196
25,USC,-118.24368,34.05223,18,SDC,-118.49119,34.01945,13.283992693182073,64.16168470806942
26,UTAH,-111.89105,40.76078,0,ILLINOIS,-89.64371,39.80172,1162.261993212605,5613.725427216882
26,UTAH,-111.89105,40.76078,12,McClellan,-121.37217,38.68574,508.99160600082126,2458.4294569839667
27,Lincoln,-71.2245,42.44732,11,RADC,-75.45573,43.21285,223.09947595817658,1077.5704688779929
27,Lincoln,-71.2245,42.44732,28,MIT,-71.09172,42.35954,8.437254289703153,40.75193821926623
28,MIT,-71.09172,42.35954,0,ILLINOIS,-89.64371,39.80172,976.1259146405397,4714.688167713807
28,MIT,-71.09172,42.35954,6,BBN,-71.10561,42.3751,1.1255604595013087,5.436457019391321
28,MIT,-71.09172,42.35954,27,Lincoln,-71.2245,42.44732,8.437254289703153,40.75193821926623
